GSA,Species,Stock,Fmsy,Fref,Meeting,Method,Assessment_URL
18,Deepwater pink shrimp,DPS,0.68,F0.1,???2013-04_STECF 13-05,,NA
1,Anchovy,ANE,0.4519,F0.1,10-05_SG-MED 10-02,,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf
6,Anchovy,ANE,NA,E,10-05_SG-MED 10-02,,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf
20,Anchovy,ANE,NA,E,10-05_SG-MED 10-02,,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf
22-23,Deepwater pink shrimp,DPS,,,10-05_SG-MED 10-02,,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf
25,Red mullet,MUT,0.22,F0.1,10-05_SG-MED 10-02,,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf
17,Norway lobster,NEP,0.44,F0.1,10-05_SG-MED 10-02,,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf
6,Sardine,PIL,NA,E,10-05_SG-MED 10-02,,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf
20,Sardine,PIL,NA,E,10-05_SG-MED 10-02,,https://stecf.jrc.ec.europa.eu/documents/43805/44874/10-05_SG-MED+10-02+-+Mediterranean+Stocks+_JRC62020.pdf
12_16,Deepwater pink shrimp,DPS,0.9,F0.1,10-12_SGMED 10-03,,https://stecf.jrc.ec.europa.eu/documents/43805/44875/10-12_SGMED+10-03+-+Assessment+of+Med+stocks_JRC61927.pdf
